dataset,window,lam1,lam2,truth_buf,stratified_point,stratified_ucb,ipw_point,ipw_ucb,naive_point,naive_ucb
har,3,0.35,0.5,0.036,0.015728070175438594,0.042891842776782596,0.07936507936507936,0.21567049480619882,0.007936507936507936,0.021567049480619882
har,3,0.7,0.05,0.038,0.04171345029239766,0.07795025271825785,0.2142857142857143,0.41451202120099756,0.09523809523809523,0.12636706942603707
har,3,0.7,0.18,0.007,0.005742690058479531,0.027737785292894557,0.029100529100529102,0.13388009803004997,0.005291005291005291,0.017645941840277776
har,3,0.7,0.5,0.0025,0.0,0.017697975198105318,0.0,0.06072998046875,0.0,0.006072998046875
har,4,0.02,0.05,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.02,0.18,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.02,0.5,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.08,0.05,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.08,0.18,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.08,0.5,0.1668,0.1587739534883721,0.20983559384386324,0.8130252100840335,1.0,0.3592436974789916,0.40030534728234557
har,4,0.18,0.05,0.1412,0.1322772093023256,0.1800043048186931,0.6764705882352942,0.9359989166259766,0.27941176470588236,0.3183674391578225
har,4,0.18,0.18,0.1344,0.1254772093023256,0.1721216993639397,0.6407563025210083,0.8883454719511399,0.24369747899159663,0.28126391242532167
har,4,0.18,0.5,0.1344,0.1254772093023256,0.1721216993639397,0.6407563025210083,0.8883454719511399,0.24369747899159663,0.28126391242532167
har,4,0.35,0.05,0.0624,0.05389023255813953,0.08807820878321951,0.27521008403361347,0.46745668339128255,0.10504201680672269,0.1333773116103741
har,4,0.35,0.18,0.0368,0.02955906976744186,0.05730354116748825,0.1491596638655462,0.301153172965811,0.01680672268907563,0.03135149018103335
har,4,0.35,0.5,0.0336,0.020827906976744186,0.045702928581183376,0.10504201680672269,0.23032188415527344,0.01050420168067227,0.023032188415527344
har,4,0.7,0.05,0.0412,0.05389023255813953,0.08807820878321951,0.27521008403361347,0.46745668339128255,0.10504201680672269,0.1333773116103741
har,4,0.7,0.18,0.0068,0.008731162790697673,0.028635830285539347,0.044117647058823525,0.14425792413599348,0.0063025210084033615,0.017151375778582917
har,4,0.7,0.5,0.002,0.0,0.014092834604545744,0.0,0.04826545715332031,0.0,0.004826545715332031
har,5,0.02,0.05,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.02,0.18,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.02,0.5,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.08,0.05,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.08,0.18,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.08,0.5,0.16666666666666666,0.17125911458333334,0.21820506637977713,0.8286655683690278,1.0,0.36902800658978585,0.40538163475778194
har,5,0.18,0.05,0.14033333333333334,0.144578125,0.18856563046551203,0.698517298187809,0.9214883266995727,0.2833607907742998,0.3177651809114207
har,5,0.18,0.18,0.13433333333333333,0.138578125,0.18173187060898993,0.6688632619439868,0.8846696479709383,0.25370675453047775,0.28711563594258793
har,5,0.18,0.5,0.13433333333333333,0.138578125,0.18173187060898993,0.6688632619439868,0.8846696479709383,0.25370675453047775,0.28711563594258793
har,5,0.35,0.05,0.06666666666666667,0.07007161458333333,0.10333706169305218,0.3377265238879736,0.5078291853727186,0.11532125205930807,0.14096199896622333
har,5,0.35,0.18,0.03966666666666667,0.04205729166666667,0.0697636983992229,0.20098846787479405,0.3483321175740224,0.023064250411861616,0.03698818608995719
har,5,0.35,0.5,0.036,0.03104296875,0.05590354251001155,0.14827018121911037,0.26737492795438306,0.014827018121911038,0.026737492795438307
har,5,0.7,0.05,0.045,0.06662239583333333,0.099307585645358,0.32125205930807244,0.48840488986874725,0.11367380560131796,0.1391771872707411
har,5,0.7,0.18,0.008666666666666666,0.017912760416666666,0.038914386205265536,0.085667215815486,0.1922917530996207,0.011532125205930808,0.022483197232643894
har,5,0.7,0.5,0.0026666666666666666,0.00344921875,0.017838508599211805,0.016474464579901153,0.08030346237258029,0.0016474464579901153,0.00803034623725803
har,6,0.02,0.05,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.02,0.18,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.02,0.5,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.08,0.05,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.08,0.18,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.08,0.5,0.16966666666666666,0.18725260416666667,0.235596824956688,0.9016393442622951,1.0,0.38524590163934425,0.4217362560209681
har,6,0.18,0.05,0.13866666666666666,0.15858333333333333,0.20388524943003902,0.7622950819672131,0.9899657593398795,0.2901639344262295,0.3246830924612577
har,6,0.18,0.18,0.13366666666666666,0.15358333333333332,0.19819797596291877,0.7377049180327868,0.9535444759931718,0.26557377049180325,0.29931570584656764
har,6,0.18,0.5,0.13366666666666666,0.15358333333333332,0.19819797596291877,0.7377049180327868,0.9535444759931718,0.26557377049180325,0.29931570584656764
har,6,0.35,0.05,0.06733333333333333,0.079015625,0.11354769121628794,0.37868852459016394,0.5629161740912765,0.11311475409836065,0.13850312311141216
har,6,0.35,0.18,0.04033333333333333,0.05234635416666667,0.08224133084668526,0.24918032786885244,0.40781378198842533,0.027868852459016394,0.04275153269533252
har,6,0.35,0.5,0.037,0.04134375,0.06871418453061146,0.19672131147540983,0.34239953463194794,0.019672131147540985,0.0342399534631948
har,6,0.7,0.05,0.04766666666666667,0.0617890625,0.09354004262493612,0.29672131147540987,0.4666112321322081,0.10491803278688525,0.1296020664152552
har,6,0.7,0.18,0.010666666666666666,0.017893229166666667,0.03887643784113884,0.08524590163934427,0.1913549204341701,0.011475409836065573,0.022373374563748716
har,6,0.7,0.5,0.0036666666666666666,0.0034453125,0.017821175732035816,0.016393442622950817,0.07990876182180935,0.001639344262295082,0.007990876182180936
har,7,0.02,0.05,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.02,0.18,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.02,0.5,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.08,0.05,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.08,0.18,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.08,0.5,0.16533333333333333,0.17636167341430498,0.2243498399816397,0.8341543513957307,1.0,0.3760262725779967,0.4124223994112563
har,7,0.18,0.05,0.134,0.1444547908232119,0.18896057349329848,0.6814449917898193,0.9001596651249527,0.2824302134646962,0.31674720344480817
har,7,0.18,0.18,0.12866666666666668,0.13912145748987853,0.1828919068842683,0.6551724137931033,0.863399472729913,0.2561576354679803,0.2895979669880984
har,7,0.18,0.5,0.12833333333333333,0.1387881241565452,0.1825108927021977,0.6535303776683086,0.8633984532849542,0.2545155993431856,0.28789609210636036
har,7,0.35,0.05,0.06433333333333334,0.07462753036437247,0.10905824665092403,0.3497536945812808,0.5254610371707109,0.11330049261083744,0.13872667134101752
har,7,0.35,0.18,0.03666666666666667,0.047614035087719296,0.07712497377124339,0.22003284072249585,0.3686757017238973,0.027914614121510674,0.04282069715177289
har,7,0.35,0.5,0.03333333333333333,0.03916059379217274,0.06656169072454765,0.18062397372742198,0.30791544170410956,0.0180623973727422,0.03079154417041096
