dataset,setting,method,n_runs,acc,acc_ci,fidelity_risk,fidelity_risk_ci,violation_rate,violation_rate_ci,cost_scalar,cost_scalar_ci,esc_cloud,esc_cloud_ci,energy_mJ,energy_mJ_ci,latency_ms,latency_ms_ci,usd,usd_ci
gas,iid,codec_two_tier,20,0.9725615384615386,0.0023421582918651132,0.02412307692307687,0.0021257635967288366,0.0346153846153846,0.0359537071014878,0.2517202160832094,0.005825642148793462,0.16899999999999993,0.006241763596016151,0.01939083181883071,0.00044882476736201726,10.98135516971323,0.253946428668373,5.03323076923077e-05,1.165219795270188e-06
gas,shift,device_only,20,0.5516750000000001,0.006714899473080986,0.43847500000000006,0.014273667090573232,1.0,0.0,7.841053839511643e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000015e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,shift,cloud_only,20,0.6544500000000001,0.005686803300165481,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07704052799999991,6.663734140194565e-18,43.599729919999994,3.4118318797796172e-15,0.0002,0.0
gas,shift,fixed_conf,20,0.5516750000000001,0.006714899473080986,0.43847500000000006,0.014273667090573232,1.0,0.0,7.841053839511643e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000015e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,shift,entropy,20,0.5516750000000001,0.006714899473080986,0.43847500000000006,0.014273667090573232,1.0,0.0,7.841053839511643e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000015e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,shift,learned_router,20,0.5516750000000001,0.006714899473080986,0.43847500000000006,0.014273667090573232,1.0,0.0,7.841053839511643e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000015e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,shift,cost_static,20,0.5516750000000001,0.006714899473080986,0.43847500000000006,0.014273667090573232,1.0,0.0,7.841053839511643e-05,6.507552871283755e-21,0.0,0.0,3.6000000000000015e-06,4.0672205445523467e-22,0.012000000000000002,8.329667675243206e-19,0.0,0.0
gas,shift,offline_crc,20,0.55915,0.00894813681732651,0.431175,0.009915441679290662,1.0,0.0,0.06682298818646813,0.020679369293389042,0.0,0.0,0.010050797952000002,0.003112907806664181,0.347140992,0.10383621536214532,0.0,0.0
gas,shift,online_naive,20,0.64851,0.006855949077079193,0.03410999999999999,0.004096013427951654,0.2799999999999999,0.03344015550817624,0.860187340083596,0.009226248634677591,0.7792950000000001,0.018888892720609795,0.07058913090047993,0.000593748379689742,35.23773580113921,0.6918720594083881,0.00016027700000000004,3.369234687037711e-06
gas,shift,online_ipw,20,0.6498350000000002,0.006585096100252995,0.022139999999999986,0.0018879030562190282,0.1375,0.023858106647144744,0.90478029368655,0.006913230397833975,0.8248800000000001,0.015407913575765816,0.07432976678783991,0.00026118906729964974,37.021485360153605,0.5698314892408908,0.00016836599999999502,2.780416248631326e-06
