dataset,setting,method,model_seed,stream_seed,alpha,delta,epsilon,outage_rate,budget,n_windows,acc,fidelity_risk,violation_rate,cost_scalar,energy_mJ,latency_ms,usd,esc_cloud,n_reselect,final_debt
har,iid,fixed_conf,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9574,0.0292,0.0,0.2700311742101743,0.18681336,18.249275942400008,5.4e-05,0.27,0,0.0
har,iid,learned_router,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.964,0.0322,0.0,0.2004049010940961,0.2349008351231999,8.610373796864002,3.44e-06,0.0172,0,0.0
har,iid,offline_crc,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9648,0.0262,0.0,0.2131111775822068,0.2349196266624,9.918446273792002,9.32e-06,0.0465999999999999,0,0.0
har,iid,online_naive,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.9688,0.0188,0.0,0.5223267752417233,0.451198329792,30.684452250368007,7.028000000000001e-05,0.2837999999999999,9,0.0
har,iid,online_ipw,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.9778,0.004,0.0,0.7172623706891522,0.6188414125055999,42.170930247680005,9.680000000000002e-05,0.4210000000000001,9,0.0
har,iid,codec,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.961,0.0269999999999999,0.0,0.4836810244059452,0.411926027328,28.716847656192005,6.732000000000001e-05,0.2586,9,0.0
har,iid,codec_no_explore,0,3,0.05,0.1,0.0,0.0,-1.0,10,0.9656,0.0252,0.0,0.3607727143018587,0.3268241279615999,20.418309734656003,4.276000000000002e-05,0.2138,1,0.0
har,iid,codec_no_aci,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.972,0.0107999999999999,0.0,0.633523679745515,0.537387561024,37.7206927424,8.900000000000002e-05,0.379,9,0.0
har,iid,codec_bonferroni,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.9714,0.0102,0.0,0.5446326734449695,0.4508170738559999,33.002018009856,8.076e-05,0.3379999999999999,8,0.0
